ID,Player Name,Stat Value,Stat Description,Higher Price,Lower Price,Sport ID,Match Title,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Weather Condition,Weather Temperature,Away Team Probable Starting Pitcher,Away Team Probable Starting Pitcher Hand,Home Team Probable Starting Pitcher,Home Team Probable Starting Pitcher Hand,Broadcasts,Player Position Display Name,Player Position Name,Player Image URL,Appearance Badge Text,Appearance Badge Label,Appearance Badge Value,Match Date
9eb9850d-fe5f-46bf-8cde-f56e5bc8c46b,Scottie Scheffler,67.5,Round Strokes,+106,-130,PGA,FedEx St. Jude... R2,N/A,2026-08-14T16:30:00Z,Fri 12:30pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260521_01-6db3e736-d86d-4181-aa3b-651b8c1bfdc1.png,N/A,N/A,N/A,8/14/2026
cb8793eb-47f0-41b6-8b00-ba8be373258c,Scottie Scheffler,5.5,Tourney Finishing Position,N/A,+109,PGA,FedEx St. Jude... R2,N/A,2026-08-14T16:30:00Z,Fri 12:30pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260521_01-6db3e736-d86d-4181-aa3b-651b8c1bfdc1.png,N/A,N/A,N/A,8/14/2026
be2c4fb1-d076-458a-86bc-39224b1e4dbe,Scottie Scheffler,4.5,Birdies or Better,-137,+112,PGA,FedEx St. Jude... R2,N/A,2026-08-14T16:30:00Z,Fri 12:30pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260521_01-6db3e736-d86d-4181-aa3b-651b8c1bfdc1.png,N/A,N/A,N/A,8/14/2026
9af9a25c-cba9-443e-b239-9002a3eee9de,Scottie Scheffler,12.5,Greens in Regulation,+123,-152,PGA,FedEx St. Jude... R2,N/A,2026-08-14T16:30:00Z,Fri 12:30pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260521_01-6db3e736-d86d-4181-aa3b-651b8c1bfdc1.png,N/A,N/A,N/A,8/14/2026
8d4af29c-906c-4590-b72b-e716758a33fe,Scottie Scheffler,8.5,Fairways Hit,-106,-117,PGA,FedEx St. Jude... R2,N/A,2026-08-14T16:30:00Z,Fri 12:30pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260521_01-6db3e736-d86d-4181-aa3b-651b8c1bfdc1.png,N/A,N/A,N/A,8/14/2026
2f8657dc-39a2-41fd-9a7d-c8c06a2cfe11,Scottie Scheffler,1.5,Bogeys or Worse,-145,+119,PGA,FedEx St. Jude... R2,N/A,2026-08-14T16:30:00Z,Fri 12:30pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260521_01-6db3e736-d86d-4181-aa3b-651b8c1bfdc1.png,N/A,N/A,N/A,8/14/2026
8664d8ba-31e8-4d8b-8c76-fd1591972f0f,Scottie Scheffler,10.5,R2 Leaderboard Position,N/A,+113,PGA,FedEx St. Jude... R2,N/A,2026-08-14T16:30:00Z,Fri 12:30pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260521_01-6db3e736-d86d-4181-aa3b-651b8c1bfdc1.png,N/A,N/A,N/A,8/14/2026
b44a2f97-b116-4ac8-816f-75a0584e7a02,Scottie Scheffler,0.5,Eagles or Better,+578,N/A,PGA,FedEx St. Jude... R2,N/A,2026-08-14T16:30:00Z,Fri 12:30pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260521_01-6db3e736-d86d-4181-aa3b-651b8c1bfdc1.png,N/A,N/A,N/A,8/14/2026
a66f3400-2351-487e-b652-c3e064f779e1,Rory McIlroy,68.5,Round Strokes,+113,-139,PGA,FedEx St. Jude... R2,N/A,2026-08-14T16:30:00Z,Fri 12:30pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_03-da226913-b804-48de-adbf-96e956eb75ac.png,N/A,N/A,N/A,8/14/2026
1c8037f6-c293-4b7d-a7da-50cc01c22e47,Rory McIlroy,20.5,Tourney Finishing Position,N/A,+293,PGA,FedEx St. Jude... R2,N/A,2026-08-14T16:30:00Z,Fri 12:30pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_03-da226913-b804-48de-adbf-96e956eb75ac.png,N/A,N/A,N/A,8/14/2026
